Timestamp,User_ID,Page_ID,Action,Duration(seconds),Status_Code,Bytes_Transferred
2024-03-21 11:18:08,13,profile,submit,53,404,4574
2024-03-22 12:04:59,14,profile,view,1,500,7707
2024-03-14 03:46:39,6,checkout,view,46,200,4087
2024-03-18 08:24:56,4,search,submit,38,200,2358
2024-03-21 16:48:11,19,checkout,click,104,404,7183
2024-03-19 14:52:16,17,product_page,view,79,500,1438
2024-03-20 21:00:44,18,search,view,30,404,2496
2024-03-15 19:41:59,19,home,click,127,404,2884
2024-03-26 10:55:53,16,home,view,123,404,8767
2024-03-18 06:18:42,6,checkout,click,9,200,5008
2024-03-13 17:50:22,8,profile,click,110,200,6738
2024-03-24 23:53:37,3,profile,submit,13,404,9991
2024-03-15 12:54:29,14,home,click,53,200,2654
2024-03-16 05:32:17,11,profile,click,91,200,8912
2024-03-12 14:45:59,14,profile,view,171,500,9519
2024-03-20 02:02:59,1,home,click,90,404,9509
2024-03-18 03:19:02,11,checkout,click,56,500,2753
2024-03-13 18:50:28,13,search,submit,165,200,9934
2024-03-22 11:06:34,18,product_page,submit,153,200,1595
2024-03-16 15:32:50,14,profile,submit,151,200,3988
2024-03-22 21:03:41,19,product_page,view,180,200,7733
2024-03-24 21:02:16,11,home,view,31,200,8577
2024-03-26 01:07:18,13,profile,submit,162,200,2274
2024-03-25 00:53:10,2,product_page,view,81,200,1114
2024-03-22 06:49:38,1,product_page,click,74,200,2468
2024-03-22 06:10:58,13,product_page,submit,5,200,5107
2024-03-19 13:19:46,13,home,click,76,500,2920
2024-03-16 23:19:17,17,checkout,view,164,404,6407
2024-03-15 16:43:31,3,profile,submit,174,500,3324
2024-03-19 16:25:30,17,profile,submit,6,500,1810
2024-03-22 12:21:33,15,profile,click,96,200,6652
2024-03-17 02:51:30,1,home,view,2,200,1005
2024-03-14 02:31:50,10,product_page,view,51,500,3670
2024-03-24 22:43:16,20,search,view,152,404,7411
2024-03-23 11:40:22,15,home,view,12,500,1985
2024-03-18 23:11:26,9,search,click,45,500,7342
